"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"01a_04600.bin.json:122","お茶を点てましょう。","お茶を点てましょう。","04600:122","False","","","宝珠"
"01a_04600.bin.json:125","茶杓を手にすると筒を手に取り、蓋を開けると抹茶を掬い茶碗へと入れた。","茶杓を手にすると筒を手に取り、蓋を開けると抹茶を掬い茶碗へと入れた。","04600:125","False","","",""
"01a_04600.bin.json:126","そして、茶碗の中の抹茶をさばき、茶碗の縁で茶杓を軽くはらい、抹茶の入った筒を元の場所へ戻す。","そして、茶碗の中の抹茶をさばき、茶碗の縁で茶杓を軽くはらい、抹茶の入った筒を元の場所へ戻す。","04600:126","False","","",""
"01a_04600.bin.json:127","茶道部の部活動で幾度となく見た所作だけれど、いつもよりも柔らかくそしてお茶に対する愛おしさを感じた。","茶道部の部活動で幾度となく見た所作だけれど、いつもよりも柔らかくそしてお茶に対する愛おしさを感じた。","04600:127","False","","",""
"01a_04600.bin.json:128","大切な赤子を扱うようにひとつひとつの所作を丁寧に行う。","大切な赤子を扱うようにひとつひとつの所作を丁寧に行う。","04600:128","False","","",""
"01a_04600.bin.json:129","沸かしてあった鉄瓶から湯を茶碗へ注いだ。","沸かしてあった鉄瓶から湯を茶碗へ注いだ。","04600:129","False","","",""
"01a_04600.bin.json:131","そして、","そして、","04600:131","False","","",""
"01a_04600.bin.json:133","茶筅を手に取り、左手を茶碗に添えて緩やかにお茶を点てていく。","茶筅を手に取り、左手を茶碗に添えて緩やかにお茶を点てていく。","04600:133","False","","",""
"01a_04600.bin.json:135","耳に心地好い音が聞こえ、時折聞こえる風の音とともに涼やかに響いた。","耳に心地好い音が聞こえ、時折聞こえる風の音とともに涼やかに響いた。","04600:135","False","","",""
"01a_04600.bin.json:137","――どうぞ。","――どうぞ。","04600:137","False","","","宝珠"
"01a_04600.bin.json:139","差し出される椀には佐和良義宝珠がお茶を点てたことを示すように、泡のない部分が三日月のように映えている。胸に去来するものが息を、心を苦しくさせるも、","差し出される椀には佐和良義宝珠がお茶を点てたことを示すように、泡のない部分が三日月のように映えている。胸に去来するものが息を、心を苦しくさせるも、","04600:139","False","","",""
"01a_04600.bin.json:141","頂戴します。","頂戴します。","04600:141","False","","","爱丽丝"
"01a_04600.bin.json:143","ぐっと気持ちを押し殺し、柄がない方を避けるようにして口を付けた。","ぐっと気持ちを押し殺し、柄がない方を避けるようにして口を付けた。","04600:143","False","","",""
"01a_04600.bin.json:145","――美味しい。","――美味しい。","04600:145","False","","","爱丽丝"
"01a_04600.bin.json:147","いつも以上に口当たりのよい繊細な――彼女の人柄が出ているような味だ。美味しければ美味しいほど、深ければ深いほどに胸の芯が痺れた。","いつも以上に口当たりのよい繊細な――彼女の人柄が出ているような味だ。美味しければ美味しいほど、深ければ深いほどに胸の芯が痺れた。","04600:147","False","","",""
"01a_04600.bin.json:148","美味しく頂戴いたしました。","美味しく頂戴いたしました。","04600:148","False","","","爱丽丝"
"01a_04600.bin.json:150","最後まで味わい言葉を吐くと、わたしは飲み終えた茶碗を置き――佐和良義宝珠へと対峙したのだ。","最後まで味わい言葉を吐くと、わたしは飲み終えた茶碗を置き――佐和良義宝珠へと対峙したのだ。","04600:150","False","","",""
"01a_04600.bin.json:152","さっと部屋を横目に見て取ると、置いてあった幾つかの茶道具がなくなっていた。片付けを始めている。茶道部を閉めるつもりなのだ。","さっと部屋を横目に見て取ると、置いてあった幾つかの茶道具がなくなっていた。片付けを始めている。茶道部を閉めるつもりなのだ。","04600:152","False","","",""
"01a_04600.bin.json:154","片付けを始めたのですね。","片付けを始めたのですね。","04600:154","False","","","爱丽丝"
"01a_04600.bin.json:157","ええ。生徒会から明け渡すよう言われた日にちも迫っていますから。","ええ。生徒会から明け渡すよう言われた日にちも迫っていますから。","04600:157","False","","","宝珠"
"01a_04600.bin.json:159","口調は変わらない。だけど、どこか諦観じみたものを感じる。それは部のことも、彼女自身に関わることもそうだろう。","口調は変わらない。だけど、どこか諦観じみたものを感じる。それは部のことも、彼女自身に関わることもそうだろう。","04600:159","False","","",""
"01a_04600.bin.json:161","わたしは座したまま告げる――部を閉める必要はなくなった、と。","わたしは座したまま告げる――部を閉める必要はなくなった、と。","04600:161","False","","",""
"01a_04600.bin.json:163","何を――。","何を――。","04600:163","False","","","宝珠"
"01a_04600.bin.json:166","以前話したように必要な部員の定数も充たし、顧問の先生も兼部することを承知して貰うことができ、活動実績も認められた。","以前話したように必要な部員の定数も充たし、顧問の先生も兼部することを承知して貰うことができ、活動実績も認められた。","04600:166","False","","","爱丽丝"
"01a_04600.bin.json:168","宝珠先輩は、でもと唇を開く。その言葉の意味は、呼び出しの“書簡”の問題だ。","宝珠先輩は、でもと唇を開く。その言葉の意味は、呼び出しの“書簡”の問題だ。","04600:168","False","","",""
"01a_04600.bin.json:169","生徒会側は送ったものを無視された、それは申し開きする意図はないと考えられてしまっている。権利を手放したのだと。","生徒会側は送ったものを無視された、それは申し開きする意図はないと考えられてしまっている。権利を手放したのだと。","04600:169","False","","",""
"01a_04600.bin.json:170","宝珠先輩は、そんな書簡は目にしていないと言っていましたよね？","宝珠先輩は、そんな書簡は目にしていないと言っていましたよね？","04600:170","False","","","爱丽丝"
"01a_04600.bin.json:173","……[#]ええ。視ていないわ。","……[#]ええ。視ていないわ。","04600:173","False","","","宝珠"
"01a_04600.bin.json:175","その言葉を聞き、","その言葉を聞き、","04600:175","False","","",""
"01a_04600.bin.json:176","夕陽を目にまとめいていた事柄を唇に乗せるために、頭の中の付箋を元に紐解いていく。あの子の言葉があって、たどり着けた真実。","夕陽を目にまとめいていた事柄を唇に乗せるために、頭の中の付箋を元に紐解いていく。あの子の言葉があって、たどり着けた真実。","04600:176","False","","",""
"01a_04600.bin.json:178","宝珠先輩の言葉を信じ、生徒会の顧問教師からもお話を聞きました。本当に書簡は出したのかと。顧問教師は、呼び出し文と書簡を確かに送ったのだと証言しました。","宝珠先輩の言葉を信じ、生徒会の顧問教師からもお話を聞きました。本当に書簡は出したのかと。顧問教師は、呼び出し文と書簡を確かに送ったのだと証言しました。","04600:178","False","","","爱丽丝"
"01a_04600.bin.json:181","私が……嘘を吐いているというの。","私が……嘘を吐いているというの。","04600:181","False","","","宝珠"
"01a_04600.bin.json:183","いいえ。わたしは始め顧問教師が思い違いをしているのだと思っていました。うっかり忘れてしまったのだと。それはよく知らない人よりも、宝珠先輩の方が信頼に足るからです。","いいえ。わたしは始め顧問教師が思い違いをしているのだと思っていました。うっかり忘れてしまったのだと。それはよく知らない人よりも、宝珠先輩の方が信頼に足るからです。","04600:183","False","","","爱丽丝"
"01a_04600.bin.json:185","…………。","…………。","04600:185","False","","","宝珠"
"01a_04600.bin.json:187","今まで何度も助けてくれた、穂高明に掛けられた冤罪を晴らしてくれたのも佐和良義宝珠だ。","今まで何度も助けてくれた、穂高明に掛けられた冤罪を晴らしてくれたのも佐和良義宝珠だ。","04600:187","False","","",""
"01a_04600.bin.json:188","しかし、何度か足を向けた結果、生徒会役員の筒森さんからも顧問教師が書簡を手に生徒会室を出るのを見たとまで証言してくれた。","しかし、何度か足を向けた結果、生徒会役員の筒森さんからも顧問教師が書簡を手に生徒会室を出るのを見たとまで証言してくれた。","04600:188","False","","","爱丽丝"
"01a_04600.bin.json:191","わたしは――どちらも嘘を吐いていないと確信したのです。","わたしは――どちらも嘘を吐いていないと確信したのです。","04600:191","False","","","爱丽丝"
"01a_04600.bin.json:194","黙したままわたしを見詰める宝珠先輩を臆せずに見返した。何度もわたしを救ってくれた彼女。わたしと木野さんとの溝を解消してくれたのもそうだ。","黙したままわたしを見詰める宝珠先輩を臆せずに見返した。何度もわたしを救ってくれた彼女。わたしと木野さんとの溝を解消してくれたのもそうだ。","04600:194","False","","",""
"01a_04600.bin.json:195","顧問教師は確かに書簡と呼び出しの手紙を宝珠先輩の机に置いた。でも、それは……呼び出しには見えない手紙だった。","顧問教師は確かに書簡と呼び出しの手紙を宝珠先輩の机に置いた。でも、それは……呼び出しには見えない手紙だった。","04600:195","False","","","爱丽丝"
"01a_04600.bin.json:198","……[#]見えない手紙。","……[#]見えない手紙。","04600:198","False","","","宝珠"
"01a_04600.bin.json:201","謎かけのように呟かれる言葉に、わたしは先日、弓道部で旧顧問の先生の娘へと弓を引く指導をしたのだと言う。急な話題の変更に怪訝な顔をする。","謎かけのように呟かれる言葉に、わたしは先日、弓道部で旧顧問の先生の娘へと弓を引く指導をしたのだと言う。急な話題の変更に怪訝な顔をする。","04600:201","False","","",""
"01a_04600.bin.json:202","その子へ弓を引くやり方を教えながら、道具について話したんです。ユガケや、勝手など――。","その子へ弓を引くやり方を教えながら、道具について話したんです。ユガケや、勝手など――。","04600:202","False","","","爱丽丝"
"01a_04600.bin.json:204","それが……どうしたと言うの。","それが……どうしたと言うの。","04600:204","False","","","宝珠"
"01a_04600.bin.json:207","その子は戸惑っていました、わたしたち弓道部員には当たり前ですが、勝手という言葉の意味が分からなかったんですね。","その子は戸惑っていました、わたしたち弓道部員には当たり前ですが、勝手という言葉の意味が分からなかったんですね。","04600:207","False","","","爱丽丝"
"01a_04600.bin.json:209","勝手とは右手のことです。勝手は矢を取り出す手……刈る手から転じて、勝手と呼ばれるようになったものなんです。","勝手とは右手のことです。勝手は矢を取り出す手……刈る手から転じて、勝手と呼ばれるようになったものなんです。","04600:209","False","","","爱丽丝"
"01a_04600.bin.json:211","眉根を曇らす彼女を目にしながら、それが気付かせてくれたのだと言う。","眉根を曇らす彼女を目にしながら、それが気付かせてくれたのだと言う。","04600:211","False","","",""
"01a_04600.bin.json:212","生徒会顧問の教師は、その日急ぐ用があった。それは部活顧問をしている演劇部の用でした。","生徒会顧問の教師は、その日急ぐ用があった。それは部活顧問をしている演劇部の用でした。","04600:212","False","","","爱丽丝"
"01a_04600.bin.json:214","直接話せない場合はと、書簡とともに呼び出しの手紙を書いた。宝珠先輩の机の上に確かに手紙を置いたのです。そう――それはあの“悪戯の手紙”だった。","直接話せない場合はと、書簡とともに呼び出しの手紙を書いた。宝珠先輩の机の上に確かに手紙を置いたのです。そう――それはあの“悪戯の手紙”だった。","04600:214","False","","","爱丽丝"
"01a_04600.bin.json:217","――ああ、そう、そうだったのね。","――ああ、そう、そうだったのね。","04600:217","False","","","宝珠"
"01a_04600.bin.json:219","わたしの言葉に、彼女の思考が回転数を一段上げる音が聞こえるようだった。","わたしの言葉に、彼女の思考が回転数を一段上げる音が聞こえるようだった。","04600:219","False","","",""
"01a_04600.bin.json:220","彼女が解決した幾つかの現場で見た情景。すべてを察し理解した宝珠先輩は大きく息を吐きながら、再度、そうだったのねと口にした。","彼女が解決した幾つかの現場で見た情景。すべてを察し理解した宝珠先輩は大きく息を吐きながら、再度、そうだったのねと口にした。","04600:220","False","","",""
"01a_04600.bin.json:221","はい。あの悪戯の手紙には――。","はい。あの悪戯の手紙には――。","04600:221","False","","","爱丽丝"
"01a_04600.bin.json:223","“申し訳ないが今ころしをしていて手が足りないので、地学準備室まできてほしい。４時までにこないとばらしを終えてしまうので時間厳守で”とありました。","“申し訳ないが今ころしをしていて手が足りないので、地学準備室まできてほしい。４時までにこないとばらしを終えてしまうので時間厳守で”とありました。","04600:223","False","","","爱丽丝"
"01a_04600.bin.json:226","ええ……。","ええ……。","04600:226","False","","","宝珠"
"01a_04600.bin.json:228","演劇人には舞台で使う独特な言い回し“符丁”があります。弓道でいうところの“勝手”のように。","演劇人には舞台で使う独特な言い回し“符丁”があります。弓道でいうところの“勝手”のように。","04600:228","False","","","爱丽丝"
"01a_04600.bin.json:230","そして、舞台用語では“ころす”は物を固定するという意味で使い、“ばらす”は舞台のセットを片づける際に使います。","そして、舞台用語では“ころす”は物を固定するという意味で使い、“ばらす”は舞台のセットを片づける際に使います。","04600:230","False","","","爱丽丝"
"01a_04600.bin.json:232","そこで少し間を置いた。","そこで少し間を置いた。","04600:232","False","","",""
"01a_04600.bin.json:233","つまり――悪戯の手紙と思っていたものは、“舞台でセットを固定する仕事をするため手が足りないので、この手紙を読んだら地学準備室まできてほしい。","つまり――悪戯の手紙と思っていたものは、“舞台でセットを固定する仕事をするため手が足りないので、この手紙を読んだら地学準備室まできてほしい。","04600:233","False","","","爱丽丝"
